OriginalName,Precursor,geneID,ensemblID,type,entrezID
hsa-miR-190b,hsa-mir-190b,MIR190B,ENSG00000215938,hsa,100126346
hsa-miR-191-5p,hsa-mir-191,MIR191,ENSG00000207605,hsa,406966
hsa-miR-192-5p,hsa-mir-192,MIR192,ENSG00000283926,hsa,406967
hsa-miR-193a-5p,hsa-mir-193a,MIR193A,ENSG00000207614,hsa,406968
hsa-miR-194-5p,hsa-mir-194-1,MIR194-1,ENSG00000207624,hsa,406969
hsa-miR-195-5p,hsa-mir-195,MIR195,ENSG00000284112,hsa,406971
hsa-miR-197-3p,hsa-mir-197,MIR197,ENSG00000284443,hsa,406974
hsa-miR-199a-3p,hsa-mir-199a-1,MIR199A1,ENSG00000207752,hsa,406976
hsa-miR-199a-5p,hsa-mir-199a-1,MIR199A1,ENSG00000207752,hsa,406976
hsa-miR-199b-3p,hsa-mir-199b,MIR199B,ENSG00000207581,hsa,406978
hsa-miR-19a-3p,hsa-mir-19a,MIR19A,ENSG00000284204,hsa,406979
hsa-miR-19b-3p,hsa-mir-19b-1,MIR19B1,ENSG00000284375,hsa,406980
hsa-miR-203a,hsa-mir-203a,MIR203A,ENSG00000207568,hsa,406986
hsa-miR-203b-5p,hsa-mir-203b,MIR203B,ENSG00000283165,hsa,100616173
hsa-miR-204-3p,hsa-mir-204,MIR204,ENSG00000207935,hsa,406987
hsa-miR-204-5p,hsa-mir-204,MIR204,ENSG00000207935,hsa,406987
hsa-miR-20a-5p,hsa-mir-20a,MIR20A,ENSG00000283762,hsa,406982
hsa-miR-21-5p,hsa-mir-21,MIR21,ENSG00000284190,hsa,406991
hsa-miR-210-3p,hsa-mir-210,MIR210,ENSG00000199038,hsa,406992
hsa-miR-211-5p,hsa-mir-211,MIR211,ENSG00000207702,hsa,406993
hsa-miR-2110,hsa-mir-2110,MIR2110,ENSG00000284442,hsa,100302224
hsa-miR-216a-3p,hsa-mir-216a,MIR216A,ENSG00000207798,hsa,406998
hsa-miR-216a-5p,hsa-mir-216a,MIR216A,ENSG00000207798,hsa,406998
hsa-miR-217,hsa-mir-217,MIR217,ENSG00000207548,hsa,406999
hsa-miR-218-5p,hsa-mir-218-1,MIR218-1,ENSG00000207732,hsa,407000
hsa-miR-22-3p,hsa-mir-22,MIR22,ENSG00000283824,hsa,407004
hsa-miR-22-5p,hsa-mir-22,MIR22,ENSG00000283824,hsa,407004
hsa-miR-221-3p,hsa-mir-221,MIR221,ENSG00000207870,hsa,407006
hsa-miR-222-3p,hsa-mir-222,MIR222,ENSG00000207725,hsa,407007
hsa-miR-223-3p,hsa-mir-223,MIR223,ENSG00000284567,hsa,407008
hsa-miR-224-5p,hsa-mir-224,MIR224,ENSG00000284363,hsa,407009
hsa-miR-23a-3p,hsa-mir-23a,MIR23A,ENSG00000207980,hsa,407010
hsa-miR-23b-3p,hsa-mir-23b,MIR23B,ENSG00000207563,hsa,407011
hsa-miR-24-3p,hsa-mir-24-1,MIR24-1,ENSG00000284459,hsa,407012
hsa-miR-25-3p,hsa-mir-25,MIR25,ENSG00000207547,hsa,407014
hsa-miR-26a-5p,hsa-mir-26a-1,MIR26A1,ENSG00000199075,hsa,407015
hsa-miR-26b-5p,hsa-mir-26b,MIR26B,ENSG00000199121,hsa,407017
hsa-miR-27a-3p,hsa-mir-27a,MIR27A,ENSG00000207808,hsa,407018
hsa-miR-27b-3p,hsa-mir-27b,MIR27B,ENSG00000207864,hsa,407019
hsa-miR-28-3p,hsa-mir-28,MIR28,ENSG00000207651,hsa,407020
hsa-miR-299-5p,hsa-mir-299,MIR299,ENSG00000207749,hsa,407023
hsa-miR-29a-3p,hsa-mir-29a,MIR29A,ENSG00000284032,hsa,407021
hsa-miR-29b-2-5p,hsa-mir-29b-2,MIR29B2,ENSG00000284203,hsa,407025
hsa-miR-29b-3p,hsa-mir-29b-1,MIR29B1,ENSG00000283797,hsa,407024
hsa-miR-29c-3p,hsa-mir-29c,MIR29C,ENSG00000284214,hsa,407026
hsa-miR-29c-5p,hsa-mir-29c,MIR29C,ENSG00000284214,hsa,407026
hsa-miR-301a-3p,hsa-mir-301a,MIR301A,ENSG00000207996,hsa,407027
hsa-miR-3065-5p,hsa-mir-3065,MIR3065,ENSG00000211563,hsa,100422915
hsa-miR-3074-5p,hsa-mir-3074,MIR3074,ENSG00000207617,hsa,100422842
hsa-miR-30a-3p,hsa-mir-30a,MIR30A,ENSG00000207827,hsa,407029
hsa-miR-30a-5p,hsa-mir-30a,MIR30A,ENSG00000207827,hsa,407029
hsa-miR-30b-5p,hsa-mir-30b,MIR30B,ENSG00000207582,hsa,407030
hsa-miR-30c-2-3p,hsa-mir-30c-2,MIR30C2,ENSG00000199094,hsa,407032
hsa-miR-30c-5p,hsa-mir-30c-1,MIR30C1,ENSG00000207962,hsa,407031
hsa-miR-30d-3p,hsa-mir-30d,MIR30D,ENSG00000199153,hsa,407033
hsa-miR-30d-5p,hsa-mir-30d,MIR30D,ENSG00000199153,hsa,407033
hsa-miR-30e-3p,hsa-mir-30e,MIR30E,ENSG00000198974,hsa,407034
hsa-miR-30e-5p,hsa-mir-30e,MIR30E,ENSG00000198974,hsa,407034
hsa-miR-31-5p,hsa-mir-31,MIR31,ENSG00000199177,hsa,407035
hsa-miR-3184-3p,hsa-mir-3184,MIR3184,ENSG00000284399,hsa,100423003
hsa-miR-3184-5p,hsa-mir-3184,MIR3184,ENSG00000284399,hsa,100423003
hsa-miR-32-5p,hsa-mir-32,MIR32,ENSG00000207698,hsa,407036
hsa-miR-3200-3p,hsa-mir-3200,MIR3200,ENSG00000264661,hsa,100422912
hsa-miR-320a,hsa-mir-320a,,hsa-miR-320a,hsa,
hsa-miR-320b,hsa-mir-320b-1,,hsa-miR-320b,hsa,
hsa-miR-323a-3p,hsa-mir-323a,MIR323A,ENSG00000199069,hsa,442897
hsa-miR-323b-3p,hsa-mir-323b,MIR323B,ENSG00000208004,hsa,574410
hsa-miR-324-3p,hsa-mir-324,MIR324,ENSG00000199053,hsa,442898
hsa-miR-324-5p,hsa-mir-324,MIR324,ENSG00000199053,hsa,442898
hsa-miR-328-3p,hsa-mir-328,MIR328,ENSG00000207948,hsa,442901
hsa-miR-329-3p,hsa-mir-329-1,MIR329-1,ENSG00000207761,hsa,574408
hsa-miR-330-5p,hsa-mir-330,MIR330,ENSG00000284544,hsa,442902
hsa-miR-331-3p,hsa-mir-331,MIR331,ENSG00000199172,hsa,442903
hsa-miR-335-3p,hsa-mir-335,MIR335,ENSG00000199043,hsa,442904
hsa-miR-335-5p,hsa-mir-335,MIR335,ENSG00000199043,hsa,442904
hsa-miR-338-3p,hsa-mir-338,MIR338,ENSG00000283604,hsa,442906
hsa-miR-339-3p,hsa-mir-339,MIR339,ENSG00000199023,hsa,442907
hsa-miR-339-5p,hsa-mir-339,MIR339,ENSG00000199023,hsa,442907
hsa-miR-340-5p,hsa-mir-340,MIR340,ENSG00000198995,hsa,442908
hsa-miR-342-3p,hsa-mir-342,MIR342,ENSG00000199082,hsa,442909
hsa-miR-342-5p,hsa-mir-342,MIR342,ENSG00000199082,hsa,442909
hsa-miR-345-5p,hsa-mir-345,MIR345,ENSG00000198984,hsa,442910
hsa-miR-34a-5p,hsa-mir-34a,MIR34A,ENSG00000284357,hsa,407040
hsa-miR-3529-3p,hsa-mir-3529,MIR3529,ENSG00000283484,hsa,100616238
hsa-miR-3605-3p,hsa-mir-3605,MIR3605,ENSG00000284154,hsa,100500853
hsa-miR-361-3p,hsa-mir-361,MIR361,ENSG00000199051,hsa,494323
hsa-miR-361-5p,hsa-mir-361,MIR361,ENSG00000199051,hsa,494323
hsa-miR-365a-3p,hsa-mir-365a,MIR365A,ENSG00000199130,hsa,100126355
hsa-miR-365b-3p,hsa-mir-365b,MIR365B,ENSG00000283978,hsa,100126356
hsa-miR-369-3p,hsa-mir-369,MIR369,ENSG00000199025,hsa,442914
hsa-miR-369-5p,hsa-mir-369,MIR369,ENSG00000199025,hsa,442914
hsa-miR-370-3p,hsa-mir-370,MIR370,ENSG00000199005,hsa,442915
hsa-miR-374a-5p,hsa-mir-374a,MIR374A,ENSG00000199168,hsa,442919
hsa-miR-374b-5p,hsa-mir-374b,MIR374B,ENSG00000212027,hsa,100126317
hsa-miR-374c-3p,hsa-mir-374c,MIR374B,ENSG00000212027,hsa,100126317
hsa-miR-375,hsa-mir-375,MIR375,ENSG00000198973,hsa,494324
hsa-miR-376a-3p,hsa-mir-376a-1,MIR376A1,ENSG00000283588,hsa,494325
hsa-miR-376c-3p,hsa-mir-376c,MIR376C,ENSG00000283279,hsa,442913
hsa-miR-378a-3p,hsa-mir-378a,MIR378A,ENSG00000199047,hsa,494327
hsa-miR-378a-5p,hsa-mir-378a,MIR378A,ENSG00000199047,hsa,494327
hsa-miR-379-5p,hsa-mir-379,MIR379,ENSG00000199088,hsa,494328
hsa-miR-381-3p,hsa-mir-381,MIR381,ENSG00000199020,hsa,494330
hsa-miR-382-3p,hsa-mir-382,MIR382,ENSG00000283170,hsa,494331
hsa-miR-382-5p,hsa-mir-382,MIR382,ENSG00000283170,hsa,494331
hsa-miR-409-3p,hsa-mir-409,MIR409,ENSG00000199107,hsa,574413
hsa-miR-409-5p,hsa-mir-409,MIR409,ENSG00000199107,hsa,574413
hsa-miR-411-5p,hsa-mir-411,MIR411,ENSG00000199109,hsa,693121
hsa-miR-412-5p,hsa-mir-412,MIR412,ENSG00000199012,hsa,574433
hsa-miR-423-3p,hsa-mir-423,MIR423,ENSG00000283935,hsa,494335
hsa-miR-423-5p,hsa-mir-423,MIR423,ENSG00000283935,hsa,494335
hsa-miR-424-5p,hsa-mir-424,MIR424,ENSG00000284231,hsa,494336
hsa-miR-425-3p,hsa-mir-425,MIR425,ENSG00000199032,hsa,494337
hsa-miR-425-5p,hsa-mir-425,MIR425,ENSG00000199032,hsa,494337
hsa-miR-432-5p,hsa-mir-432,MIR432,ENSG00000272458,hsa,574451
hsa-miR-451a,hsa-mir-451a,MIR451A,ENSG00000284565,hsa,574411
hsa-miR-454-3p,hsa-mir-454,MIR454,ENSG00000211514,hsa,768216
hsa-miR-484,hsa-mir-484,MIR484,ENSG00000283736,hsa,619553
hsa-miR-485-3p,hsa-mir-485,MIR485,ENSG00000208027,hsa,574436
