Sample,total_reads,avg_input_read_length,uniquely_mapped,uniquely_mapped_percent,avg_mapped_read_length,num_splices,num_annotated_splices,num_GTAG_splices,num_GCAG_splices,num_ATAC_splices,num_noncanonical_splices,mismatch_rate,deletion_rate,deletion_length,insertion_rate,insertion_length,multimapped,multimapped_percent,multimapped_toomany,multimapped_toomany_percent,unmapped_mismatches_percent,unmapped_tooshort_percent,unmapped_other_percent,unmapped_mismatches,unmapped_tooshort,unmapped_other,featureCounts_mqc-generalstats-percent_assigned,featureCounts_mqc-generalstats-Assigned,Picard_mqc-generalstats-PCT_RIBOSOMAL_BASES,Picard_mqc-generalstats-PCT_MRNA_BASES,Picard_mqc-generalstats-PCT_PF_READS_ALIGNED,Picard_mqc-generalstats-summed_median,Picard_mqc-generalstats-summed_mean,Picard_mqc-generalstats-PERCENT_DUPLICATION,STAR_mqc-generalstats-uniquely_mapped_percent,STAR_mqc-generalstats-uniquely_mapped,FastQC_mqc-generalstats-percent_duplicates,FastQC_mqc-generalstats-percent_gc,FastQC_mqc-generalstats-avg_sequence_length,FastQC_mqc-generalstats-percent_fails,FastQC_mqc-generalstats-total_sequences,Total,Assigned,Unassigned_Ambiguity,Unassigned_MultiMapping,Unassigned_NoFeatures,Unassigned_Unmapped,Unassigned_MappingQuality,Unassigned_FragmentLength,Unassigned_Chimera,Unassigned_Secondary,Unassigned_Nonjunction,Unassigned_Duplicate,percent_assigned,PF_BASES,PF_ALIGNED_BASES,RIBOSOMAL_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,IGNORED_READS,CORRECT_STRAND_READS,INCORRECT_STRAND_READS,PCT_RIBOSOMAL_BASES,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,PCT_CORRECT_STRAND_READS,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,PF_NOT_ALIGNED_BASES
2fbd5d2d-2149-4c5b-8651-c189acb1fe42,71608155,152,66718844,93.17,151.22,10342203,10096612,10235661,87982,8516,10044,0.33,0.01,1.7,0.01,1.44,3320784,4.64,67754,0.09,0,1.97,0.12,0,1414604,86169,32.3166665113139,25759950,1e-04,40.287,0.978096,200,231.415877,0.173509,93.17,66718844,30.8211450960864,45,76,4.54545454545455,71608155,79711037,25759950,1496400,11423666,39462494,1568527,0,0,0,0,0,0,32.3166665113139,10884439560,10590480425,13528,2109988656,2156603309,5619599110,704276054,0,0,0,1e-04,19.9234,20.3636,53.0627,6.6501,40.287,39.199,0,0.485873,0.44771,0.648612,0.619808,293959135
30c6ef65-a2e3-4dbb-bf19-0b97e99f4511,66679831,152,61762083,92.62,151.22,7495487,7337220,7424505,57856,6697,6429,0.32,0.01,1.65,0.01,1.42,3319644,4.98,81719,0.12,0,2.13,0.14,0,1422863,93522,25.907143156048,19526291,4e-04,33.5207,0.976033,179,201.028209,0.169929,92.62,61762083,24.6443705289733,45,76,4.54545454545455,66679831,75370298,19526291,1375315,12010111,40860477,1598104,0,0,0,0,0,0,25.907143156048,10135334312,9840057454,43168,1569179819,1729274666,5924199498,617361308,0,0,0,4e-04,15.9469,17.5738,60.2049,6.274,33.5207,32.5441,0,0.516349,0.416004,0.643537,0.593069,295276858
369529a3-50b2-4f5f-8d80-809387042899,71997351,152,65802771,91.4,151.3,14177785,13870693,14034029,120724,11221,11811,0.26,0.01,1.63,0.01,1.43,4778831,6.64,119082,0.17,0,1.7,0.1,0,1224630,72037,38.6503645992384,32003438,2e-04,52.8343,0.980336,175,197.79875,0.198544,91.4,65802771,39.1570397065773,48,76,4.54545454545455,71997351,82802422,32003438,2705624,15583902,31093709,1415749,0,0,0,0,0,0,38.6503645992384,10943597352,10677012035,25536,2838018480,2803106840,4423556236,612305499,0,0,0,2e-04,26.5806,26.2537,41.4307,5.7348,52.8343,51.5473,0,0.501508,0.395609,0.676856,0.568742,266585317
48fc6e06-518c-4e85-8439-5e821ca444cb,81615267,152,75488894,92.49,151.32,13070910,12745537,12939973,108124,10835,11978,0.26,0.01,1.63,0.01,1.43,4633078,5.68,100274,0.12,0,1.58,0.13,0,1287119,105902,33.5145211925631,31052335,3e-04,43.9349,0.981703,172,191.046309,0.17473,92.49,75488894,34.5440187180958,47,76,4.54545454545455,81615267,92653375,31052335,2145519,15671186,42291040,1493295,0,0,0,0,0,0,33.5145211925631,12405520584,12121141783,31616,2669242711,2656170629,6030215647,765483119,0,0,0,3e-04,22.0214,21.9135,49.7496,6.3153,43.9349,42.9278,0,0.489447,0.443045,0.66467,0.605539,284378801
5711b26b-f86a-40fd-863f-aaa5508c6464,68111208,152,63213168,92.81,151.23,10902312,10638231,10791260,92295,8920,9837,0.3,0.01,1.64,0.01,1.43,3400488,4.99,82969,0.12,0,1.96,0.12,0,1332972,81611,35.4177410698334,26863072,3e-04,44.6055,0.978013,180,205.253291,0.159806,92.81,63213168,32.6287546943575,46,76,4.54545454545455,68111208,75846373,26863072,1521205,11135653,34828891,1497552,0,0,0,0,0,0,35.4177410698334,10352903616,10072126374,32680,2235456510,2257267994,4950398164,628972488,0,0,0,3e-04,22.1945,22.411,49.1495,6.2447,44.6055,43.3958,0,0.491686,0.410043,0.666181,0.56895,280777242
6024baf5-182c-437b-9e4e-a618df3a47a7,66241365,152,61628223,93.04,151.28,9836763,9608128,9734635,85423,7673,9032,0.27,0.01,1.63,0.01,1.44,3301058,4.98,88366,0.13,0,1.71,0.14,0,1131112,92606,32.3957292964557,23862298,2e-04,41.3055,0.980192,175,197.912937,0.159322,93.04,61628223,30.4160948332907,46,76,4.54545454545455,66241365,73658777,23862298,1544828,10718470,36221097,1312084,0,0,0,0,0,0,32.3957292964557,10068687480,9820382364,20368,2004653549,2051702154,5107257569,656749312,0,0,0,2e-04,20.4132,20.8923,52.0067,6.6876,41.3055,40.2868,0,0.492522,0.376709,0.688099,0.528855,248305116
6ce17c48-6d22-4a5e-b3c7-b77f0b21eb03,72682841,152,67339886,92.65,151.26,11655320,11370104,11539416,96427,9354,10123,0.3,0.01,1.61,0.01,1.43,3924896,5.4,83133,0.11,0,1.72,0.12,0,1247866,87060,34.4329457794821,28048275,2e-04,44.5045,0.98049,177,200.457504,0.160937,92.65,67339886,33.2460206890441,46,76,4.54545454545455,72682841,81457669,28048275,1900143,12699724,37391468,1418059,0,0,0,0,0,0,34.4329457794821,11047791832,10777311435,26296,2360966015,2435421834,5332863048,648036261,0,0,0,2e-04,21.9068,22.5977,49.4823,6.013,44.5045,43.4149,0,0.48877,0.415283,0.682731,0.583232,270480397
6fdc6689-1414-4a21-9378-47986463689f,63652780,152,59015078,92.71,151.26,10115427,9888154,10011456,87175,8600,8196,0.3,0.01,1.63,0.01,1.42,3335591,5.24,85219,0.13,0,1.79,0.12,0,1140438,76454,35.2523838775802,25002381,2e-04,45.229,0.979544,180,203.788429,0.163371,92.71,59015078,30.9132255326859,46,76,9.09090909090909,63652780,70923944,25002381,1676708,10606755,32335989,1302111,0,0,0,0,0,0,35.2523838775802,9675222560,9429668812,16112,2072164483,2192778291,4567128204,597581913,0,0,0,2e-04,21.9749,23.254,48.4336,6.3373,45.229,44.0811,0,0.495483,0.396827,0.697684,0.529691,245553748
719387b5-45bb-4a2c-a40c-216bfa9d1800,72727256,152,67408377,92.69,151.23,10572878,10330064,10467725,86382,8746,10025,0.33,0.01,1.73,0.01,1.46,3653847,5.02,80233,0.11,0,2.04,0.14,0,1483023,101776,30.9586157418072,25105617,5e-04,39.5404,0.977106,179,202.497493,0.163633,92.69,67408377,30.3796895248738,46,76,9.09090909090909,72727256,81094120,25105617,1536453,12020711,40766307,1665032,0,0,0,0,0,0,30.9586157418072,11054542912,10745208554,56696,2176036123,2072665889,5859599479,636852426,0,0,0,5e-04,20.2512,19.2892,54.5322,5.9269,39.5404,38.434,0,0.52204,0.391683,0.606865,0.580115,309334358
7d5b2d59-d32f-411a-8296-2c3dbcf6f65a,103060688,152,95694782,92.85,151.25,14256889,13881594,14111976,117672,11419,15822,0.31,0.01,1.72,0.01,1.44,5099528,4.95,140406,0.14,0,1.92,0.14,0,1981488,144484,29.8468130454345,34702252,4e-04,38.0303,0.978009,181,205.18107,0.185417,92.85,95694782,34.5027516304633,46,76,4.54545454545455,103060688,116267864,34702252,2049905,18306704,58942625,2266378,0,0,0,0,0,0,29.8468130454345,15665224576,15242718717,63384,2961533128,2835320066,8406069900,1039732706,0,0,0,4e-04,19.4292,18.6011,55.1481,6.8212,38.0303,37.0046,0,0.506566,0.413496,0.648217,0.563714,422505859
