ensemblID,beta,Type,geneID
ENSG00000197037,0.000151004151143647,ENS,ZSCAN25
ENSG00000182771,-0.00760218178632031,ENS,GRID1
ENSG00000254635,0.00418765036510277,ENS,WAC-AS1
ENSG00000165028,0.000152974945883078,ENS,NIPSNAP3B
ENSG00000214114,0.00371184443627522,ENS,MYCBP
ENSG00000271901,0.00623128889294128,ENS,AL161716.1
ENSG00000066583,0.0039603885893223,ENS,ISOC1
hsa-miR-150-5p,-0.0085580297732062,hsa,
ENSG00000094631,0.0054822804346981,ENS,HDAC6
ENSG00000169439,0.00440739051384411,ENS,SDC2
ENSG00000058404,-0.0021365141140306,ENS,CAMK2B
ENSG00000145050,-0.00454790047891901,ENS,MANF
ENSG00000110092,0.00476759948403572,ENS,CCND1
ENSG00000078061,0.000712885156159262,ENS,ARAF
ENSG00000103485,0.00153201603262059,ENS,QPRT
ENSG00000253797,0.00656850408232145,ENS,UTP14C
ENSG00000169217,0.00355078418093823,ENS,CD2BP2
ENSG00000080644,0.00815861162214482,ENS,CHRNA3
ENSG00000130294,-0.000925127857151763,ENS,KIF1A
ENSG00000137944,-0.00351392938180423,ENS,KYAT3
ENSG00000150540,0.00554815804448321,ENS,HNMT
ENSG00000145335,0.0019930472221142,ENS,SNCA
ENSG00000181896,0.00269396701209533,ENS,ZNF101
ENSG00000124608,0.00328840761109706,ENS,AARS2
ENSG00000013293,0.000952671429043757,ENS,SLC7A14
hsa-miR-485-3p,-0.00265431623008823,hsa,
ENSG00000036530,0.000765880909630768,ENS,CYP46A1
ENSG00000131043,0.000575729233814471,ENS,AAR2
ENSG00000132849,-0.00493744505749336,ENS,PATJ
ENSG00000165458,0.00281504041789031,ENS,INPPL1
ENSG00000278768,0.00532535480579745,ENS,BACE1-AS
ENSG00000144136,-0.00687906420639649,ENS,SLC20A1
ENSG00000140450,0.00464724488716967,ENS,ARRDC4
ENSG00000114573,-0.000574295723202869,ENS,ATP6V1A
ENSG00000186487,0.0014826556974099,ENS,MYT1L
ENSG00000106330,0.00288612358212569,ENS,MOSPD3
ENSG00000154447,0.00221120673329582,ENS,SH3RF1
ENSG00000164616,0.00163521775973973,ENS,FBXL21
ENSG00000177700,0.00654166960505517,ENS,POLR2L
ENSG00000069535,0.00483509564423744,ENS,MAOB
ENSG00000146833,0.00422350647061714,ENS,TRIM4
ENSG00000104833,0.0019289918194697,ENS,TUBB4A
ENSG00000159239,0.000339838027122765,ENS,AC005041.1
ENSG00000237424,0.00096777346704381,ENS,FOXD2-AS1
ENSG00000267750,-0.00540296153927493,ENS,RUNDC3A-AS1
ENSG00000082641,-0.000733173115201886,ENS,NFE2L1
ENSG00000156097,-0.000470091394389637,ENS,GPR61
ENSG00000172458,0.00301772296457681,ENS,IL17D
ENSG00000106665,-0.00230941068551277,ENS,CLIP2
ENSG00000136854,-0.00184156599293522,ENS,STXBP1
ENSG00000273079,0.00100293311215849,ENS,GRIN2B
ENSG00000107771,0.00200363506068526,ENS,CCSER2
ENSG00000140836,0.000582655149858497,ENS,ZFHX3
ENSG00000175595,0.00447921767776326,ENS,ERCC4
ENSG00000109881,0.00576950861139747,ENS,CCDC34
ENSG00000114999,-0.00149876148402907,ENS,TTL
ENSG00000141431,-0.00197123439727279,ENS,ASXL3
ENSG00000171311,0.000405789914314822,ENS,EXOSC1
ENSG00000168282,0.00349544276172648,ENS,MGAT2
ENSG00000114698,0.00461182112511225,ENS,PLSCR4
ENSG00000144635,-0.00155710723083407,ENS,DYNC1LI1
ENSG00000105784,-0.00243090435786123,ENS,RUNDC3B
