ensemblID,analysis,sample_site,group,Precursor,geneID,ensemblID.y,type,entrezID,score
ENSG00000115661,DP,Macula,DP.Macula,"",STK16,ENSG00000115661,ENS,8576,1
ENSG00000115761,DE,Periphery,DE.Periphery,"",NOL10,ENSG00000115761,ENS,79954,1
ENSG00000115762,DE,Periphery,DE.Periphery,"",PLEKHB2,ENSG00000115762,ENS,55041,1
ENSG00000115806,DE,Periphery,DE.Periphery,"",GORASP2,ENSG00000115806,ENS,26003,1
ENSG00000115944,DE,Periphery,DE.Periphery,"",COX7A2L,ENSG00000115944,ENS,9167,1
ENSG00000115970,DP,Periphery,DP.Periphery,"",THADA,ENSG00000115970,ENS,63892,3
ENSG00000115970,DE,Macula,DE.Macula,"",THADA,ENSG00000115970,ENS,63892,3
ENSG00000115970,DE,Periphery,DE.Periphery,"",THADA,ENSG00000115970,ENS,63892,3
ENSG00000116017,DE,Periphery,DE.Periphery,"",ARID3A,ENSG00000116017,ENS,1820,1
ENSG00000116133,DP,Macula,DP.Macula,"",DHCR24,ENSG00000116133,ENS,1718,2
ENSG00000116133,DE,Macula,DE.Macula,"",DHCR24,ENSG00000116133,ENS,1718,2
ENSG00000116141,DP,Macula,DP.Macula,"",MARK1,ENSG00000116141,ENS,4139,2
ENSG00000116141,DE,Macula,DE.Macula,"",MARK1,ENSG00000116141,ENS,4139,2
ENSG00000116151,DP,Periphery,DP.Periphery,"",MORN1,ENSG00000116151,ENS,79906,1
ENSG00000116194,DE,Periphery,DE.Periphery,"",ANGPTL1,ENSG00000116194,ENS,9068,1
ENSG00000116199,DE,Periphery,DE.Periphery,"",FAM20B,ENSG00000116199,ENS,9917,1
ENSG00000116209,DE,Periphery,DE.Periphery,"",TMEM59,ENSG00000116209,ENS,9528,1
ENSG00000116213,DP,Macula,DP.Macula,"",WRAP73,ENSG00000116213,ENS,49856,1
ENSG00000116459,DE,Periphery,DE.Periphery,"",ATP5PB,ENSG00000116459,ENS,515,1
ENSG00000116478,DP,Macula,DP.Macula,"",HDAC1,ENSG00000116478,ENS,3065,1
ENSG00000116675,DP,Macula,DP.Macula,"",DNAJC6,ENSG00000116675,ENS,9829,3
ENSG00000116675,DE,Macula,DE.Macula,"",DNAJC6,ENSG00000116675,ENS,9829,3
ENSG00000116675,DE,Periphery,DE.Periphery,"",DNAJC6,ENSG00000116675,ENS,9829,3
ENSG00000116704,DP,Macula,DP.Macula,"",SLC35D1,ENSG00000116704,ENS,23169,1
ENSG00000116750,DE,Periphery,DE.Periphery,"",UCHL5,ENSG00000116750,ENS,51377,1
ENSG00000116761,DE,Macula,DE.Macula,"",CTH,ENSG00000116761,ENS,1491,2
ENSG00000116761,DE,Periphery,DE.Periphery,"",CTH,ENSG00000116761,ENS,1491,2
ENSG00000116830,DE,Periphery,DE.Periphery,"",TTF2,ENSG00000116830,ENS,8458,1
ENSG00000116863,DP,Periphery,DP.Periphery,"",ADPRHL2,ENSG00000116863,ENS,54936,1
ENSG00000116871,DP,Macula,DP.Macula,"",MAP7D1,ENSG00000116871,ENS,55700,2
ENSG00000116871,DE,Macula,DE.Macula,"",MAP7D1,ENSG00000116871,ENS,55700,2
ENSG00000116898,DP,Macula,DP.Macula,"",MRPS15,ENSG00000116898,ENS,64960,1
ENSG00000116954,DP,Macula,DP.Macula,"",RRAGC,ENSG00000116954,ENS,64121,1
ENSG00000116977,DP,Macula,DP.Macula,"",LGALS8,ENSG00000116977,ENS,3964,4
ENSG00000116977,DP,Periphery,DP.Periphery,"",LGALS8,ENSG00000116977,ENS,3964,4
ENSG00000116977,DE,Macula,DE.Macula,"",LGALS8,ENSG00000116977,ENS,3964,4
ENSG00000116977,DE,Periphery,DE.Periphery,"",LGALS8,ENSG00000116977,ENS,3964,4
ENSG00000117133,DP,Macula,DP.Macula,"",RPF1,ENSG00000117133,ENS,80135,1
ENSG00000117242,DP,Macula,DP.Macula,"",PINK1-AS,ENSG00000117242,ENS,100861548,1
ENSG00000117461,DP,Macula,DP.Macula,"",PIK3R3,ENSG00000117461,ENS,8503,1
ENSG00000117533,DP,Periphery,DP.Periphery,"",VAMP4,ENSG00000117533,ENS,8674,2
ENSG00000117533,DE,Periphery,DE.Periphery,"",VAMP4,ENSG00000117533,ENS,8674,2
ENSG00000117592,DE,Periphery,DE.Periphery,"",PRDX6,ENSG00000117592,ENS,9588,1
ENSG00000117597,DE,Periphery,DE.Periphery,"",UTP25,ENSG00000117597,ENS,27042,1
ENSG00000117691,DP,Macula,DP.Macula,"",NENF,ENSG00000117691,ENS,29937,1
ENSG00000117748,DP,Macula,DP.Macula,"",RPA2,ENSG00000117748,ENS,6118,2
ENSG00000117748,DP,Periphery,DP.Periphery,"",RPA2,ENSG00000117748,ENS,6118,2
ENSG00000117751,DP,Macula,DP.Macula,"",PPP1R8,ENSG00000117751,ENS,5511,1
ENSG00000117758,DP,Periphery,DP.Periphery,"",STX12,ENSG00000117758,ENS,23673,2
ENSG00000117758,DE,Periphery,DE.Periphery,"",STX12,ENSG00000117758,ENS,23673,2
ENSG00000117859,DP,Periphery,DP.Periphery,"",OSBPL9,ENSG00000117859,ENS,114883,1
ENSG00000117971,DP,Macula,DP.Macula,"",CHRNB4,ENSG00000117971,ENS,1143,2
ENSG00000117971,DE,Macula,DE.Macula,"",CHRNB4,ENSG00000117971,ENS,1143,2
ENSG00000118200,DP,Macula,DP.Macula,"",CAMSAP2,ENSG00000118200,ENS,23271,1
ENSG00000118276,DE,Periphery,DE.Periphery,"",B4GALT6,ENSG00000118276,ENS,9331,1
ENSG00000118518,DE,Periphery,DE.Periphery,"",RNF146,ENSG00000118518,ENS,81847,1
ENSG00000118564,DP,Periphery,DP.Periphery,"",FBXL5,ENSG00000118564,ENS,26234,1
ENSG00000118655,DP,Macula,DP.Macula,"",DCLRE1B,ENSG00000118655,ENS,64858,1
ENSG00000118690,DE,Periphery,DE.Periphery,"",ARMC2,ENSG00000118690,ENS,84071,1
ENSG00000118705,DP,Macula,DP.Macula,"",RPN2,ENSG00000118705,ENS,6185,1
ENSG00000118707,DP,Macula,DP.Macula,"",TGIF2,ENSG00000118707,ENS,60436,1
ENSG00000118762,DE,Periphery,DE.Periphery,"",PKD2,ENSG00000118762,ENS,5311,1
ENSG00000118816,DE,Periphery,DE.Periphery,"",CCNI,ENSG00000118816,ENS,10983,1
ENSG00000119004,DE,Macula,DE.Macula,"",CYP20A1,ENSG00000119004,ENS,57404,2
ENSG00000119004,DE,Periphery,DE.Periphery,"",CYP20A1,ENSG00000119004,ENS,57404,2
ENSG00000119013,DE,Periphery,DE.Periphery,"",NDUFB3,ENSG00000119013,ENS,4709,1
ENSG00000119048,DP,Macula,DP.Macula,"",UBE2B,ENSG00000119048,ENS,7320,1
ENSG00000119185,DP,Macula,DP.Macula,"",ITGB1BP1,ENSG00000119185,ENS,9270,2
ENSG00000119185,DE,Macula,DE.Macula,"",ITGB1BP1,ENSG00000119185,ENS,9270,2
ENSG00000119333,DE,Macula,DE.Macula,"",WDR34,ENSG00000119333,ENS,89891,1
ENSG00000119396,DE,Periphery,DE.Periphery,"",RAB14,ENSG00000119396,ENS,51552,1
ENSG00000119403,DP,Macula,DP.Macula,"",PHF19,ENSG00000119403,ENS,26147,1
ENSG00000119408,DP,Macula,DP.Macula,"",NEK6,ENSG00000119408,ENS,10783,3
ENSG00000119408,DE,Macula,DE.Macula,"",NEK6,ENSG00000119408,ENS,10783,3
ENSG00000119408,DE,Periphery,DE.Periphery,"",NEK6,ENSG00000119408,ENS,10783,3
ENSG00000119487,DP,Macula,DP.Macula,"",MAPKAP1,ENSG00000119487,ENS,79109,1
ENSG00000119630,DP,Macula,DP.Macula,"",PGF,ENSG00000119630,ENS,5228,1
ENSG00000119689,DE,Periphery,DE.Periphery,"",DLST,ENSG00000119689,ENS,1743,1
ENSG00000119699,DP,Macula,DP.Macula,"",TGFB3,ENSG00000119699,ENS,7043,1
ENSG00000119711,DP,Macula,DP.Macula,"",ALDH6A1,ENSG00000119711,ENS,4329,1
ENSG00000119718,DP,Macula,DP.Macula,"",EIF2B2,ENSG00000119718,ENS,8892,1
ENSG00000119729,DP,Macula,DP.Macula,"",RHOQ,ENSG00000119729,ENS,23433,4
ENSG00000119729,DP,Periphery,DP.Periphery,"",RHOQ,ENSG00000119729,ENS,23433,4
ENSG00000119729,DE,Macula,DE.Macula,"",RHOQ,ENSG00000119729,ENS,23433,4
ENSG00000119729,DE,Periphery,DE.Periphery,"",RHOQ,ENSG00000119729,ENS,23433,4
ENSG00000119760,DE,Periphery,DE.Periphery,"",SUPT7L,ENSG00000119760,ENS,9913,1
ENSG00000119782,DP,Macula,DP.Macula,"",FKBP1B,ENSG00000119782,ENS,2281,2
ENSG00000119782,DE,Macula,DE.Macula,"",FKBP1B,ENSG00000119782,ENS,2281,2
ENSG00000119787,DE,Periphery,DE.Periphery,"",ATL2,ENSG00000119787,ENS,64225,1
ENSG00000119801,DE,Periphery,DE.Periphery,"",YPEL5,ENSG00000119801,ENS,51646,1
ENSG00000119899,DE,Periphery,DE.Periphery,"",SLC17A5,ENSG00000119899,ENS,26503,1
ENSG00000119906,DP,Macula,DP.Macula,"",SLF2,ENSG00000119906,ENS,55719,1
ENSG00000119922,DE,Periphery,DE.Periphery,"",IFIT2,ENSG00000119922,ENS,3433,1
ENSG00000120053,DP,Macula,DP.Macula,"",GOT1,ENSG00000120053,ENS,2805,2
ENSG00000120053,DE,Periphery,DE.Periphery,"",GOT1,ENSG00000120053,ENS,2805,2
ENSG00000120251,DP,Macula,DP.Macula,"",GRIA2,ENSG00000120251,ENS,2891,1
ENSG00000120265,DP,Macula,DP.Macula,"",PCMT1,ENSG00000120265,ENS,5110,2
ENSG00000120265,DE,Macula,DE.Macula,"",PCMT1,ENSG00000120265,ENS,5110,2
ENSG00000120333,DP,Macula,DP.Macula,"",MRPS14,ENSG00000120333,ENS,63931,1
ENSG00000120370,DP,Macula,DP.Macula,"",GORAB,ENSG00000120370,ENS,92344,1
ENSG00000120549,DE,Periphery,DE.Periphery,"",KIAA1217,ENSG00000120549,ENS,56243,1
ENSG00000120616,DE,Periphery,DE.Periphery,"",EPC1,ENSG00000120616,ENS,80314,1
ENSG00000120675,DP,Macula,DP.Macula,"",DNAJC15,ENSG00000120675,ENS,29103,1
ENSG00000120725,DP,Macula,DP.Macula,"",SIL1,ENSG00000120725,ENS,64374,1
ENSG00000120727,DE,Periphery,DE.Periphery,"",PAIP2,ENSG00000120727,ENS,51247,1
ENSG00000120798,DP,Periphery,DP.Periphery,"",NR2C1,ENSG00000120798,ENS,7181,2
ENSG00000120798,DE,Periphery,DE.Periphery,"",NR2C1,ENSG00000120798,ENS,7181,2
ENSG00000120800,DE,Periphery,DE.Periphery,"",UTP20,ENSG00000120800,ENS,27340,1
ENSG00000120899,DP,Periphery,DP.Periphery,"",PTK2B,ENSG00000120899,ENS,2185,3
ENSG00000120899,DE,Macula,DE.Macula,"",PTK2B,ENSG00000120899,ENS,2185,3
ENSG00000120899,DE,Periphery,DE.Periphery,"",PTK2B,ENSG00000120899,ENS,2185,3
ENSG00000120948,DP,Periphery,DP.Periphery,"",TARDBP,ENSG00000120948,ENS,23435,1
ENSG00000120992,DE,Periphery,DE.Periphery,"",LYPLA1,ENSG00000120992,ENS,10434,1
ENSG00000121060,DP,Macula,DP.Macula,"",TRIM25,ENSG00000121060,ENS,7706,1
ENSG00000121210,DP,Macula,DP.Macula,"",TMEM131L,ENSG00000121210,ENS,23240,1
ENSG00000121297,DP,Macula,DP.Macula,"",TSHZ3,ENSG00000121297,ENS,57616,1
ENSG00000121579,DP,Macula,DP.Macula,"",NAA50,ENSG00000121579,ENS,80218,1
ENSG00000121741,DE,Periphery,DE.Periphery,"",ZMYM2,ENSG00000121741,ENS,7750,1
ENSG00000121871,DP,Macula,DP.Macula,"",SLITRK3,ENSG00000121871,ENS,22865,3
ENSG00000121871,DP,Periphery,DP.Periphery,"",SLITRK3,ENSG00000121871,ENS,22865,3
ENSG00000121871,DE,Periphery,DE.Periphery,"",SLITRK3,ENSG00000121871,ENS,22865,3
ENSG00000121879,DE,Periphery,DE.Periphery,"",PIK3CA,ENSG00000121879,ENS,5290,1
ENSG00000121964,DP,Macula,DP.Macula,"",GTDC1,ENSG00000121964,ENS,79712,1
ENSG00000121988,DE,Periphery,DE.Periphery,"",ZRANB3,ENSG00000121988,ENS,84083,1
ENSG00000122176,DP,Macula,DP.Macula,"",FMOD,ENSG00000122176,ENS,2331,2
ENSG00000122176,DE,Macula,DE.Macula,"",FMOD,ENSG00000122176,ENS,2331,2
ENSG00000122257,DE,Periphery,DE.Periphery,"",RBBP6,ENSG00000122257,ENS,5930,1
ENSG00000122299,DP,Periphery,DP.Periphery,"",ZC3H7A,ENSG00000122299,ENS,29066,1
ENSG00000122335,DE,Macula,DE.Macula,"",SERAC1,ENSG00000122335,ENS,84947,1
ENSG00000122545,DP,Macula,DP.Macula,"",SEPT7,ENSG00000122545,ENS,989,1
ENSG00000122565,DE,Periphery,DE.Periphery,"",CBX3,ENSG00000122565,ENS,11335,1
ENSG00000122694,DP,Macula,DP.Macula,"",GLIPR2,ENSG00000122694,ENS,152007,3
ENSG00000122694,DE,Macula,DE.Macula,"",GLIPR2,ENSG00000122694,ENS,152007,3
ENSG00000122694,DE,Periphery,DE.Periphery,"",GLIPR2,ENSG00000122694,ENS,152007,3
ENSG00000122711,DP,Macula,DP.Macula,"",SPINK4,ENSG00000122711,ENS,27290,1
ENSG00000122733,DP,Macula,DP.Macula,"",PHF24,ENSG00000122733,ENS,23349,1
ENSG00000122779,DP,Macula,DP.Macula,"",TRIM24,ENSG00000122779,ENS,8805,2
ENSG00000122779,DE,Macula,DE.Macula,"",TRIM24,ENSG00000122779,ENS,8805,2
ENSG00000122783,DE,Periphery,DE.Periphery,"",CYREN,ENSG00000122783,ENS,78996,1
ENSG00000122863,DP,Macula,DP.Macula,"",CHST3,ENSG00000122863,ENS,9469,2
ENSG00000122863,DE,Macula,DE.Macula,"",CHST3,ENSG00000122863,ENS,9469,2
ENSG00000122873,DE,Macula,DE.Macula,"",CISD1,ENSG00000122873,ENS,55847,2
ENSG00000122873,DE,Periphery,DE.Periphery,"",CISD1,ENSG00000122873,ENS,55847,2
ENSG00000122965,DE,Periphery,DE.Periphery,"",RBM19,ENSG00000122965,ENS,9904,1
ENSG00000122971,DE,Periphery,DE.Periphery,"",ACADS,ENSG00000122971,ENS,35,1
ENSG00000123064,DP,Macula,DP.Macula,"",DDX54,ENSG00000123064,ENS,79039,2
ENSG00000123064,DE,Periphery,DE.Periphery,"",DDX54,ENSG00000123064,ENS,79039,2
ENSG00000123091,DE,Periphery,DE.Periphery,"",RNF11,ENSG00000123091,ENS,26994,1
ENSG00000123240,DP,Macula,DP.Macula,"",OPTN,ENSG00000123240,ENS,10133,2
ENSG00000123240,DE,Macula,DE.Macula,"",OPTN,ENSG00000123240,ENS,10133,2
ENSG00000123415,DP,Macula,DP.Macula,"",SMUG1,ENSG00000123415,ENS,23583,1
ENSG00000123416,DE,Periphery,DE.Periphery,"",TUBA1B,ENSG00000123416,ENS,10376,1
ENSG00000123545,DP,Macula,DP.Macula,"",NDUFAF4,ENSG00000123545,ENS,29078,1
ENSG00000123552,DP,Macula,DP.Macula,"",USP45,ENSG00000123552,ENS,85015,2
ENSG00000123552,DE,Macula,DE.Macula,"",USP45,ENSG00000123552,ENS,85015,2
ENSG00000123562,DE,Macula,DE.Macula,"",MORF4L2,ENSG00000123562,ENS,9643,1
ENSG00000123684,DP,Periphery,DP.Periphery,"",LPGAT1,ENSG00000123684,ENS,9926,1
ENSG00000124126,DE,Macula,DE.Macula,"",PREX1,ENSG00000124126,ENS,57580,2
ENSG00000124126,DE,Periphery,DE.Periphery,"",PREX1,ENSG00000124126,ENS,57580,2
ENSG00000124194,DP,Macula,DP.Macula,"",GDAP1L1,ENSG00000124194,ENS,78997,3
ENSG00000124194,DE,Macula,DE.Macula,"",GDAP1L1,ENSG00000124194,ENS,78997,3
ENSG00000124194,DE,Periphery,DE.Periphery,"",GDAP1L1,ENSG00000124194,ENS,78997,3
ENSG00000124507,DE,Periphery,DE.Periphery,"",PACSIN1,ENSG00000124507,ENS,29993,1
ENSG00000124574,DE,Periphery,DE.Periphery,"",ABCC10,ENSG00000124574,ENS,89845,1
ENSG00000124596,DP,Macula,DP.Macula,"",OARD1,ENSG00000124596,ENS,221443,1
ENSG00000124608,DP,Macula,DP.Macula,"",AARS2,ENSG00000124608,ENS,57505,1
ENSG00000124767,DE,Periphery,DE.Periphery,"",GLO1,ENSG00000124767,ENS,2739,1
ENSG00000124942,DE,Macula,DE.Macula,"",AHNAK,ENSG00000124942,ENS,79026,2
ENSG00000124942,DE,Periphery,DE.Periphery,"",AHNAK,ENSG00000124942,ENS,79026,2
ENSG00000125144,DP,Macula,DP.Macula,"",MT1G,ENSG00000125144,ENS,4495,2
ENSG00000125144,DE,Macula,DE.Macula,"",MT1G,ENSG00000125144,ENS,4495,2
ENSG00000125398,DE,Periphery,DE.Periphery,"",SOX9,ENSG00000125398,ENS,6662,1
ENSG00000125430,DE,Macula,DE.Macula,"",HS3ST3B1,ENSG00000125430,ENS,9953,1
ENSG00000125462,DE,Macula,DE.Macula,"",C1orf61,ENSG00000125462,ENS,10485,1
ENSG00000125637,DE,Macula,DE.Macula,"",PSD4,ENSG00000125637,ENS,23550,2
ENSG00000125637,DE,Periphery,DE.Periphery,"",PSD4,ENSG00000125637,ENS,23550,2
ENSG00000125648,DP,Macula,DP.Macula,"",SLC25A23,ENSG00000125648,ENS,79085,1
ENSG00000125652,DP,Macula,DP.Macula,"",ALKBH7,ENSG00000125652,ENS,84266,1
ENSG00000125686,DP,Macula,DP.Macula,"",MED1,ENSG00000125686,ENS,5469,1
ENSG00000125753,DE,Periphery,DE.Periphery,"",VASP,ENSG00000125753,ENS,7408,1
ENSG00000125814,DP,Periphery,DP.Periphery,"",NAPB,ENSG00000125814,ENS,63908,3
