cellType,p_val,avg_logFC,pct.1,pct.2,p_val_adj,ensemblID,cellTypeShort,geneID,n,Unique
Unknown,8.71448686998261e-37,0.874314266399983,0.123,0.024,1.88320061260324e-32,ENSG00000164330,Unknown,EBF1,2,FALSE
Unknown,8.85020863889319e-36,1.03123498831507,0.316,0.136,1.91253008686482e-31,ENSG00000087470,Unknown,DNM1L,2,FALSE
Unknown,5.07902637539093e-35,0.946313086118484,0.188,0.055,1.09757759972198e-30,ENSG00000136531,Unknown,SCN2A,4,FALSE
Unknown,6.55284745090499e-35,1.00665455723817,0.192,0.057,1.41607033414057e-30,ENSG00000132849,Unknown,PATJ,1,TRUE
Unknown,1.55159903478519e-34,0.958875654072168,0.164,0.043,3.35300551417079e-30,ENSG00000180155,Unknown,LYNX1,2,FALSE
Unknown,4.0193892993582e-34,0.945692896854075,0.277,0.108,8.68590027591308e-30,ENSG00000168993,Unknown,CPLX1,2,FALSE
Unknown,4.11711870435294e-34,0.758707528264922,0.553,0.391,8.89709352010671e-30,ENSG00000151914,Unknown,DST,2,FALSE
Unknown,4.42033745186658e-34,0.970851827932313,0.168,0.046,9.55234923348369e-30,ENSG00000049759,Unknown,NEDD4L,5,FALSE
Unknown,4.75634394377325e-34,1.02335506163095,0.202,0.064,1.0278459262494e-29,ENSG00000084731,Unknown,KIF3C,2,FALSE
Unknown,7.54660897270148e-34,0.995656736603723,0.164,0.044,1.63082219900079e-29,ENSG00000129159,Unknown,KCNC1,3,FALSE
Unknown,1.07345303213038e-33,0.892352203908517,0.103,0.019,2.31973200243375e-29,ENSG00000116883,Unknown,AL591845.1,1,TRUE
Unknown,1.51411807473036e-33,1.01138626096032,0.308,0.135,3.2720091594923e-29,ENSG00000090905,Unknown,TNRC6A,3,FALSE
Unknown,2.77661510196441e-33,1.02029216923989,0.275,0.112,6.00026523534509e-29,ENSG00000101489,Unknown,CELF4,4,FALSE
Unknown,4.0743630711878e-33,1.08544389564739,0.217,0.074,8.80469859683683e-29,ENSG00000183696,Unknown,UPP1,3,FALSE
Unknown,9.50093278389321e-33,1.00783629816132,0.188,0.058,2.05315157459932e-28,ENSG00000160753,Unknown,RUSC1,3,FALSE
Unknown,4.17554963161723e-32,0.875574512479803,0.336,0.153,9.02336275392482e-28,ENSG00000160789,Unknown,LMNA,4,FALSE
Unknown,1.50307282451624e-31,0.976577678276669,0.401,0.228,3.2481403737796e-27,ENSG00000105220,Unknown,GPI,4,FALSE
Unknown,2.07173821019107e-31,0.830673619490348,0.101,0.019,4.47702627222291e-27,ENSG00000135596,Unknown,MICAL1,1,TRUE
Unknown,3.14550635563121e-31,0.960450249863773,0.196,0.064,6.79743923451904e-27,ENSG00000175352,Unknown,NRIP3,4,FALSE
Unknown,1.45042110580075e-30,0.77416758238319,0.111,0.024,3.13436000963543e-26,ENSG00000172824,Unknown,CES4A,1,TRUE
Unknown,9.68280797160237e-30,0.984628709009959,0.192,0.064,2.09245480266327e-25,ENSG00000107957,Unknown,SH3PXD2A,6,FALSE
Unknown,7.27065845635725e-29,0.993335876373802,0.213,0.077,1.5711892924188e-24,ENSG00000182272,Unknown,B4GALNT4,2,FALSE
Unknown,8.91723167510117e-29,0.962612417060138,0.245,0.099,1.92701376498936e-24,ENSG00000104549,Unknown,SQLE,3,FALSE
Unknown,1.08502200339483e-28,0.862198834523289,0.387,0.215,2.34473254933624e-24,ENSG00000197102,Unknown,DYNC1H1,4,FALSE
Unknown,4.51378510794846e-28,0.995604234967353,0.211,0.078,9.75428961827663e-24,ENSG00000126217,Unknown,MCF2L,2,FALSE
Unknown,5.81404859864345e-28,0.893663197092704,0.188,0.064,1.25641590216685e-23,ENSG00000110318,Unknown,CEP126,4,FALSE
Unknown,6.13941875742157e-28,1.00723777388746,0.184,0.062,1.3267283934788e-23,ENSG00000198626,Unknown,RYR2,3,FALSE
Unknown,1.04106638224589e-27,0.981413951497488,0.273,0.123,2.24974445203337e-23,ENSG00000109381,Unknown,ELF2,2,FALSE
Unknown,3.98826341372888e-27,1.00116477194301,0.138,0.038,8.6186372370681e-23,ENSG00000185133,Unknown,INPP5J,1,TRUE
Unknown,1.27647203195938e-26,0.81820032103961,0.447,0.294,2.75845606106422e-22,ENSG00000141002,Unknown,TCF25,2,FALSE
Unknown,3.63609296436608e-26,0.866002117363923,0.132,0.036,7.8575968959951e-22,ENSG00000006432,Unknown,MAP3K9,2,FALSE
Unknown,3.8339314869498e-26,0.943641203132879,0.128,0.034,8.28512594329852e-22,ENSG00000132359,Unknown,RAP1GAP2,2,FALSE
Unknown,6.4630475381968e-26,0.846205996648611,0.148,0.044,1.39666457300433e-21,ENSG00000099194,Unknown,SCD,3,FALSE
Unknown,9.17952774202278e-26,0.905432318621209,0.123,0.033,1.98369594505112e-21,ENSG00000237289,Unknown,CKMT1B,1,TRUE
Unknown,2.88777560186895e-25,0.731642909770665,0.54,0.441,6.24048307563879e-21,ENSG00000167978,Unknown,SRRM2,1,TRUE
Unknown,4.76058242068994e-25,0.838299137888292,0.279,0.13,1.0287618611111e-20,ENSG00000166963,Unknown,MAP1A,5,FALSE
Unknown,5.91458690957479e-25,0.927919552847295,0.18,0.064,1.27814223115911e-20,ENSG00000160271,Unknown,RALGDS,3,FALSE
Unknown,8.4568794320375e-25,0.862684005170756,0.176,0.061,1.8275316452633e-20,ENSG00000116254,Unknown,CHD5,3,FALSE
Unknown,9.72491196884608e-25,0.807556912484071,0.113,0.029,2.10155347646764e-20,ENSG00000107331,Unknown,ABCA2,2,FALSE
Unknown,3.12080277255428e-24,0.905589918830673,0.16,0.053,6.74405479148979e-20,ENSG00000081760,Unknown,AACS,3,FALSE
Unknown,4.31139105896122e-24,0.884015221495561,0.2,0.078,9.31691607841519e-20,ENSG00000113161,Unknown,HMGCR,3,FALSE
Unknown,5.78764882606909e-24,0.766869126439708,0.128,0.036,1.25071091131353e-19,ENSG00000100604,Unknown,CHGA,3,FALSE
Unknown,1.86431716171437e-23,0.896593918214213,0.132,0.039,4.02878938646475e-19,ENSG00000139436,Unknown,GIT2,1,TRUE
Unknown,3.06797937486517e-23,0.815061011826575,0.117,0.032,6.62990342908364e-19,ENSG00000005379,Unknown,TSPOAP1,1,TRUE
Unknown,8.50004627548753e-23,0.799908896039269,0.158,0.053,1.83686000013286e-18,ENSG00000100285,Unknown,NEFH,2,FALSE
Unknown,1.04785799562048e-22,0.975716028963831,0.182,0.07,2.26442112853586e-18,ENSG00000004660,Unknown,CAMKK1,1,TRUE
Unknown,1.20798124580512e-22,0.856522899796847,0.2,0.08,2.61044747218487e-18,ENSG00000175727,Unknown,MLXIP,3,FALSE
Unknown,1.5415597465891e-22,0.924540251275132,0.204,0.084,3.33131061237905e-18,ENSG00000173064,Unknown,HECTD4,2,FALSE
Unknown,1.88893679119531e-22,0.918474747118798,0.391,0.254,4.08199240577305e-18,ENSG00000104852,Unknown,SNRNP70,2,FALSE
Unknown,3.6631549157602e-22,0.699969178299739,0.457,0.315,7.9160777729578e-18,ENSG00000145362,Unknown,ANK2,4,FALSE
Unknown,8.50314026663186e-22,0.77690882758689,0.15,0.05,1.83752861161914e-17,ENSG00000116133,Unknown,DHCR24,2,FALSE
Unknown,1.7192865263562e-21,0.933662728166519,0.213,0.093,3.71537818345576e-17,ENSG00000165209,Unknown,STRBP,2,FALSE
Unknown,2.70454869120289e-21,0.78060021187083,0.132,0.041,5.84452972168945e-17,ENSG00000011021,Unknown,CLCN6,2,FALSE
Unknown,3.01988116357258e-21,0.859224898242881,0.144,0.049,6.52596319448035e-17,ENSG00000149091,Unknown,DGKZ,3,FALSE
Unknown,3.75131085857729e-21,0.772965081488291,0.115,0.033,8.10658276538552e-17,ENSG00000186487,Unknown,MYT1L,4,FALSE
Unknown,3.8571087193292e-21,0.832505478753679,0.283,0.147,8.3352119424704e-17,ENSG00000076344,Unknown,RGS11,3,FALSE
Unknown,4.05114476737734e-21,0.846867067552388,0.109,0.03,8.75452384230243e-17,ENSG00000114270,Unknown,COL7A1,2,FALSE
Unknown,4.9013018335755e-21,0.939371726258454,0.3,0.167,1.05917132623566e-16,ENSG00000168280,Unknown,KIF5C,5,FALSE
Unknown,5.73891921939394e-21,0.782654957458093,0.283,0.143,1.24018044331103e-16,ENSG00000174501,Unknown,ANKRD36C,3,FALSE
Unknown,1.01758178957082e-20,0.87399426459571,0.296,0.16,2.19899424726254e-16,ENSG00000007372,Unknown,PAX6,5,FALSE
Unknown,1.38415459882566e-20,0.747583386328672,0.356,0.216,2.99115808806226e-16,ENSG00000184226,Unknown,PCDH9,3,FALSE
Unknown,1.76381611641369e-20,0.8597949668366,0.204,0.088,3.81160662756998e-16,ENSG00000102878,Unknown,HSF4,3,FALSE
Unknown,2.75570570161233e-20,0.771718782168375,0.13,0.042,5.95508002118425e-16,ENSG00000114923,Unknown,SLC4A3,4,FALSE
Unknown,5.85415838566358e-20,0.888524803917891,0.192,0.081,1.2650836271419e-15,ENSG00000127481,Unknown,UBR4,2,FALSE
