sample_site,ensemblID,beta
Macula,ENSG00000151789,-0.0044054673257277
Macula,ENSG00000196247,0.0098854793072036
Macula,ENSG00000254469,0.0100693283940821
Macula,ENSG00000136869,0.00769534875186185
Macula,ENSG00000095713,-0.00284155271846674
Macula,hsa-miR-30d-3p,0.0010412389402606
Macula,hsa-miR-29a-3p,0.00658595019816503
Macula,ENSG00000275395,0.000623198617631847
Macula,ENSG00000081138,-0.000823132568911868
Macula,hsa-miR-30a-3p,0.0109611450856257
Macula,ENSG00000229689,0.00777385743447167
Macula,ENSG00000108091,-0.00147214360559176
Macula,hsa-miR-140-5p,0.000390054761654785
Macula,hsa-miR-425-3p,0.00444696189287508
Macula,ENSG00000250571,0.00494336517404391
Macula,ENSG00000112852,-0.00767105158941928
Macula,ENSG00000167720,0.00142665077400862
Macula,ENSG00000230189,0.000874095271248861
Macula,ENSG00000104870,0.000570574581778759
Macula,ENSG00000156471,-0.00120890264456761
Macula,ENSG00000187792,0.00364520914601514
Macula,ENSG00000249673,0.00401689777988856
Macula,ENSG00000107758,-0.000808398415427321
Macula,ENSG00000117971,0.00335103381036517
Macula,ENSG00000205544,0.00345645629291755
Macula,ENSG00000088538,-0.00183368494979749
Macula,ENSG00000138131,0.00334332681863236
Macula,ENSG00000167543,-0.00148576273379945
Macula,ENSG00000103769,-0.000650603035158081
Macula,ENSG00000249238,0.00721192733433094
Macula,ENSG00000129084,-0.00651994998668566
Macula,ENSG00000100568,0.00697312720688448
Macula,ENSG00000168672,0.000388662409607435
Macula,ENSG00000225973,0.00616682052703151
Macula,hsa-let-7g-5p,0.00641943985530369
Macula,ENSG00000187446,0.00115569245936163
Macula,ENSG00000125648,0.00142656354505717
Macula,ENSG00000078269,-0.00257263736392345
Macula,ENSG00000059377,0.00227618424906339
Macula,ENSG00000134910,0.00150230466250438
Macula,ENSG00000141294,0.00339847263207587
Macula,ENSG00000164951,8.64537600584842e-05
Macula,ENSG00000143409,0.0032245126896451
Macula,ENSG00000139116,0.00113717885726205
Macula,ENSG00000003147,-0.00160503535593992
Macula,ENSG00000136485,0.00149075122770033
Macula,ENSG00000173638,-0.0067024014319208
Macula,ENSG00000235437,0.00787175924029458
Macula,ENSG00000122176,0.00721146251691063
Macula,ENSG00000160298,0.005005843354723
Macula,ENSG00000068354,-0.00556230105578694
Macula,ENSG00000010292,0.00593397573908561
Macula,ENSG00000130055,0.00395760323884148
Macula,ENSG00000213190,0.00108425959734401
Macula,hsa-miR-146a-5p,0.00387293402504104
Macula,ENSG00000152154,-0.00401036654642602
Macula,ENSG00000163950,-0.00410389244888356
Macula,ENSG00000130669,0.00154643419505414
Macula,ENSG00000157680,-0.00571043063586121
Macula,ENSG00000197061,0.00587662961442214
Macula,ENSG00000171503,-0.00779167757381351
Macula,ENSG00000166562,0.00753285968090425
Macula,ENSG00000276076,0.000963376096079547
Macula,ENSG00000136546,-0.00128264546430612
Macula,ENSG00000135636,-0.000952623799565649
Macula,ENSG00000118705,-0.00273217923271245
Macula,ENSG00000164236,0.00257516783793046
Macula,ENSG00000223573,-0.00492839154534827
Macula,ENSG00000164318,-8.01142951226056e-05
Macula,ENSG00000172671,0.000973864283200142
Macula,ENSG00000151065,0.00460004834015114
Macula,ENSG00000168876,0.00608125230171677
Macula,ENSG00000211849,0.00463962103878857
Macula,hsa-miR-99a-3p,0.00433577097947335
Macula,ENSG00000118655,0.0101796539914766
Macula,ENSG00000177432,0.0014273365697541
